FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
nt50719.a.fits,A,2001 KX67,target,moving,+22:38:03.49,+55:05:56.2,2001/9/25,12:49.8,52177.38391,1.233,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50720.b.fits,B,2001 KX67,target,moving,+22:38:03.66,+55:06:03.0,2001/9/25,15:12.6,52177.38556,1.234,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50721.b.fits,B,2001 KX67,target,moving,+22:38:03.79,+55:06:02.1,2001/9/25,17:30.4,52177.38716,1.235,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50722.a.fits,A,2001 KX67,target,moving,+22:38:03.97,+55:05:53.7,2001/9/25,19:51.2,52177.38879,1.237,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50723.a.fits,A,2001 KX67,target,moving,+22:38:04.13,+55:05:53.0,2001/9/25,22:09.0,52177.39038,1.238,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50724.b.fits,B,2001 KX67,target,moving,+22:38:04.27,+55:05:59.9,2001/9/25,24:29.8,52177.39201,1.24,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50725.b.fits,B,2001 KX67,target,moving,+22:38:04.43,+55:05:59.2,2001/9/25,26:47.6,52177.39361,1.241,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50726.a.fits,A,2001 KX67,target,moving,+22:38:04.66,+55:05:50.8,2001/9/25,29:08.5,52177.39524,1.243,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50727.a.fits,A,2001 KX67,target,moving,+22:38:04.81,+55:05:50.1,2001/9/25,31:26.3,52177.39683,1.245,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50728.b.fits,B,2001 KX67,target,moving,+22:38:04.95,+55:05:57.0,2001/9/25,33:47.1,52177.39846,1.247,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50729.a.fits,A,HD 210144,standard,fixed,+22:06:41.46,+53:07:51.1,2001/9/25,39:54.4,52177.40271,1.26,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50730.b.fits,B,HD 210144,standard,fixed,+22:06:41.44,+53:07:58.3,2001/9/25,40:45.2,52177.4033,1.261,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50731.b.fits,B,HD 210144,standard,fixed,+22:06:41.45,+53:07:58.3,2001/9/25,41:31.9,52177.40384,1.262,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50732.a.fits,A,HD 210144,standard,fixed,+22:06:41.49,+53:07:51.1,2001/9/25,42:21.7,52177.40442,1.264,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
nt50733.a.fits,A,HD 210144,standard,fixed,+22:06:41.50,+53:07:51.1,2001/9/25,43:08.5,52177.40496,1.265,1,30,spex,0.5x15,Prism,2001B099,Sheppard,HD 210144,G8V,HighPM*,8.58,0,7.588747,6.382,6.078,5.964,
